utt_id,duration_s,f0_mean_hz,f0_std_hz,f0_p05,f0_p95,f0_range,intensity_mean_db,intensity_std_db,hnr_mean_db,jitter_local,shimmer_local
2_174,3.6456,140.69070549944703,59.72532194367667,76.15886919872396,237.5300403333481,161.37117113462415,72.64953250386438,5.946178223790342,-19.296842535844544,0.03702630656756357,0.15968215533774774
1_4281,5.0133,133.7300179540179,54.23811709479998,79.97770906865152,233.22613825955156,153.24842919090003,58.02346680988727,8.767186833931916,-61.844129319487735,0.023043921734342807,0.12602821571301404
1_11098,9.0027,363.56473243975523,97.1134979528556,223.62454817499315,539.4091858299173,315.78463765492415,59.81976855820986,12.345459846952235,-69.87538698279018,0.023153015789172712,0.13641308626027873
2_2,6.8963,180.827507454528,38.46189294318506,143.2619692883241,273.16340806458953,129.90143877626542,64.76947803275586,6.776828950665676,-34.43264174969153,0.026916291122347284,0.12991650044544226
2_58,0.6187,204.8076310121239,29.161567632297754,172.24511338526847,251.71645091086555,79.47133752559708,61.53846256837209,11.458519868149603,-92.82960122078002,0.02172722319069579,0.15615324840076622
1_7402,5.0155,152.69037098920882,38.60395560262763,118.46866735053116,211.90593848322575,93.43727113269459,71.84153250462496,7.516341713019703,-30.594738073873952,0.020230428748127086,0.12576575034486434
2_84,4.0615,160.77397147856522,22.33153148643839,123.22437061974748,193.06985543143642,69.84548481168895,68.51097022994614,8.226212580249838,-46.44498048397388,0.01952760906482697,0.10257613066265597
1_4995,6.016,264.36779808940275,137.57575316402662,96.58408586700833,487.30901589458387,390.7249300275755,70.0559342366745,9.318630399436715,-36.024816280460676,0.0291978291600509,0.1421848611066194
2_124,5.0155,170.59152179236776,97.63347491202713,90.12928835179254,283.11867308403,192.98938473223745,64.17123857964856,9.989636562310487,-50.232719283026974,0.026825022462853818,0.1488171758335712
2_232,3.4773,284.95914413745334,78.97271632070316,176.36070603751517,431.69986156583604,255.33915552832087,48.45274402182764,14.961035383835664,-99.53517522496679,0.02378749795689138,0.1198374837786165
1_427,5.0133,156.9569657890113,56.403125043663664,109.19278284582629,211.32819664079548,102.1354137949692,72.63511472011935,7.8024604713816945,-53.517672520709056,0.02082084266338353,0.1230971556485076
2_279,7.4536,294.61786322818165,72.98040477436271,204.61386573757727,453.1808899058575,248.56702416828023,47.700000263365204,10.74828271491399,-95.79948519122085,0.020243135828110603,0.13159177207151163
2_540,0.3627,120.65681089123714,13.689060822046635,102.90598319340279,141.1507662586762,38.244783065273424,61.67233878575974,6.692236966450608,-55.90632625861341,0.03455716290427143,0.1555684368482229
1_3545,7.0187,93.69068263720143,19.879950801333834,76.25680144981955,129.07417391739443,52.817372467574884,71.19221558630757,4.317078874263525,-15.506096575619154,0.02627588383605528,0.11977147923815452
2_534,1.0453,473.31955756617873,95.5162248536518,304.55834568855175,591.5541417795874,286.9957960910357,62.910024238476794,7.5813302834669845,-27.475703735567713,0.013597963044204174,0.13008828676686118
2_388,6.144,183.8654334563982,77.34581785397606,110.02179600964695,313.5462273398228,203.52443133017584,63.7794114312475,4.330199655327215,-12.428750635328464,0.02897881369479172,0.15376071311083944
